city,trips_in_first_30_days,signup_date,avg_rating_of_driver,avg_surge,last_trip_date,phone,surge_pct,ultimate_black_user,weekday_pct,avg_dist,avg_rating_by_driver
King's Landing,4,2014-01-25,4.7,1.1,2014-06-17,iPhone,15.4,True,46.2,3.67,5.0
Astapor,0,2014-01-29,5.0,1.0,2014-05-05,Android,0.0,False,50.0,8.26,5.0
Astapor,3,2014-01-06,4.3,1.0,2014-01-07,iPhone,0.0,False,100.0,0.77,5.0
King's Landing,9,2014-01-10,4.6,1.1400000000000001,2014-06-29,iPhone,20.0,True,80.0,2.36,4.9
Winterfell,14,2014-01-27,4.4,1.19,2014-03-15,Android,11.8,False,82.4,3.13,4.9
Winterfell,2,2014-01-09,3.5,1.0,2014-06-06,iPhone,0.0,True,100.0,10.56,5.0
Astapor,1,2014-01-24,,1.0,2014-01-25,Android,0.0,False,100.0,3.95,4.0
Winterfell,2,2014-01-28,5.0,1.0,2014-01-29,iPhone,0.0,False,100.0,2.04,5.0
Winterfell,2,2014-01-21,4.5,1.0,2014-02-01,Android,0.0,False,100.0,4.36,5.0
Winterfell,1,2014-01-03,,1.0,2014-01-05,Android,0.0,False,0.0,2.37,5.0
Winterfell,1,2014-01-13,5.0,1.0,2014-05-30,iPhone,0.0,True,100.0,4.28,4.9
Winterfell,3,2014-01-06,4.0,1.0,2014-01-10,iPhone,0.0,False,100.0,3.81,5.0
Winterfell,1,2014-01-15,,1.0,2014-03-12,iPhone,0.0,False,100.0,20.29,5.0
King's Landing,0,2014-01-29,4.0,1.38,2014-06-08,iPhone,50.0,False,50.0,3.04,5.0
Astapor,1,2014-01-27,,1.0,2014-01-28,Android,0.0,False,100.0,26.01,5.0
Winterfell,1,2014-01-15,,1.0,2014-01-16,Android,0.0,True,100.0,13.2,5.0
King's Landing,1,2014-01-11,5.0,1.0,2014-06-28,Android,0.0,True,50.0,10.86,3.0
King's Landing,0,2014-01-12,3.9,1.0,2014-07-01,iPhone,0.0,True,95.2,2.38,4.8
King's Landing,6,2014-01-28,4.6,1.21,2014-06-24,iPhone,30.8,True,80.8,6.83,4.8
King's Landing,0,2014-01-02,5.0,1.17,2014-06-03,iPhone,33.3,False,66.7,12.08,5.0
Winterfell,1,2014-01-31,,1.0,2014-03-16,Android,0.0,False,50.0,2.5300000000000002,3.0
